6000 34083
1 222 44977
1 421 908299
1 1299 907891
1 1301 680670
1 1631 195776
1 2606 163396
1 3504 790070
1 4247 105931
1 4307 750845
1 4410 168220
1 4651 953314
1 4864 428289
1 5029 968360
1 5526 979747
2 185 364439
2 1073 860160
2 2058 376539
2 2443 345875
2 2979 707054
2 3531 446663
2 3907 943300
2 4815 737797
2 5205 848839
3 233 123941
3 653 765474
3 1251 965636
3 1357 781119
3 1696 959607
3 1905 808011
3 2690 641647
3 2936 151296
3 3915 652784
3 4591 941854
3 5258 401081
4 329 832456
4 377 609589
4 974 32442
4 1393 986804
4 1412 98711
4 1631 432493
4 2288 20854
4 2882 506127
4 3423 102200
4 3754 795551
4 4087 941329
4 4231 60980
4 4534 240928
4 5186 995508
4 5776 156084
5 272 504888
5 928 620855
5 1408 447449
5 2029 578283
5 2493 694331
5 3343 546956
5 3678 170703
5 4575 925461
5 5166 824449
5 5305 470141
6 469 58285
6 573 220122
6 1129 33759
6 1750 960149
6 1937 449233
6 2700 727426
6 2937 108617
6 3838 311685
6 4071 413535
6 4567 914916
6 4947 5803
6 5545 250435
7 414 925025
7 554 517549
7 1064 770272
7 1424 486146
7 1795 420481
7 2492 115482
7 2941 778197
7 2957 601682
7 3913 65441
7 4827 374572
7 5516 293950
7 5669 314223
8 424 393955
8 1016 877017
8 1749 486643
8 2520 85757
8 3298 203320
8 3912 809401
8 3939 999759
8 4059 856859
8 4862 522953
8 5165 596000
9 341 378307
9 741 109601
9 963 827092
9 1506 864378
9 2164 156340
9 2305 567964
9 2584 800510
9 3276 917922
9 3552 330801
9 3599 205947
9 4009 766448
9 4330 360521
9 5245 499179
9 5564 696867
10 676 74182
10 837 668972
10 1414 778114
10 1604 344020
10 2256 318919
10 2281 854343
10 2337 85989
10 2954 42917
10 3630 203538
10 3818 145476
10 4399 251487
10 4633 443380
10 5436 866754
11 341 561424
11 845 934163
11 1283 421037
11 1954 37409
11 2563 380784
11 3509 281980
11 4292 810865
11 5292 449477
11 5560 885988
11 5650 96184
11 5662 454979
12 495 131911
12 1048 868720
12 1682 803360
12 2499 225279
12 2536 329593
12 2666 163199
12 2692 993166
12 2909 251786
12 3031 663001
12 3759 213101
12 3890 554592
12 4339 707608
12 4546 931788
12 4591 736742
12 5386 930375
13 643 62282
13 1004 412701
13 1267 624072
13 1781 895542
13 2237 510458
13 2904 532654
13 3383 977185
13 4249 460264
13 4551 994218
13 5538 637755
13 5883 274930
14 314 915488
14 648 435348
14 1221 764133
14 1935 563385
14 2045 944347
14 2138 720810
14 2744 524516
14 3415 510147
14 4382 412128
14 4543 426620
14 5145 987697
14 5978 597218
15 414 317556
15 511 37099
15 989 733651
15 1383 24317
15 2363 948741
15 3249 629464
15 4051 756270
15 4972 775149
15 5682 174731
16 237 76401
16 481 75191
16 1354 426760
16 1508 141830
16 1957 292342
16 1996 826799
16 2732 56595
16 3623 114186
16 4043 126893
16 4618 706088
16 4838 92667
16 5807 621684
17 603 591956
17 1212 828299
17 1890 604714
17 2405 359431
17 3358 601057
17 4009 447712
17 4215 22480
17 4723 427900
17 5590 205306
18 827 82196
18 992 16232
18 1072 246743
